,userName,splitName,comment,n_recommend,n_reply,nyt_select,recommendflag,url,ttlCommentNum,gender,time,time_order,tech,Name,gender_
0,AB,AB,This is when it hurts us not having a competent leader.,1046,7,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 06:46:01,1,True,ab,2.0
1,Mark,Mark,Our illustrious commander-in-chief was all too happy to own the market’s peaks over the last few years. I get the feeling he won’t feel the same way about its valleys.,1183,17,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 06:58:13,2,True,mark,0.0
2,Nomind7,Nomind,This is when it hurts us not having universal health care.,1046,33,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 06:59:10,3,True,nomind,2.0
3,Michael,Michael,Oil prices falling is a symptom of demand falling  not a cause. I cringe every time I read an article that says falling oil prices are causing the stock market to fall. Lower economic activity (potentially due to Corona  panic) means less demand for oil.,136,4,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 07:19:59,4,True,michael,0.0
4,Larry,Larry,Virus at my daughters school in Boston. I have no intention of going out to a public place and spending money.,68,2,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 07:29:30,5,True,larry,0.0
5,PMD,PMD,@Mark You are spot on. This accounts for Covfefe’s sour expression. He has owned the rises in DJIA and 401Ks. There is nowhere to hide now.,30,0,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 07:50:14,6,True,pmd,2.0
6,Rod,Rod,"Global production to be lowest since 2008. 
The virus. 
Oil war. 
The Trump Slump. 
Bear Market. 
The perfect storm. 
The Black Swan has arrived.",111,2,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 07:52:22,7,True,rod,0.0
7,JJ,JJ,The greedfest of the last few years  as epitomized by a skyrocketing stock market  is over.  Now the rest of us will pay the price in the form of dwindling retirement savings  slumping economy  and incompetent healthcare in the face of a pandemic.  The current administration will only make things worse because they truly are focused inwards  towards the King and his continued reign  in addition to being historically incompetent.,580,2,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 07:52:32,8,True,jj,2.0
8,Incompotus,Incompotus,This may be the slap in the face that some need to understand the real damage the administration is doing to the lesser of us each and everyday. Sort of a feel my pain. Rise up American  we can overcome the virus  and the real threat facing us in November.,47,1,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 07:52:32,9,True,incompotus,2.0
9,Dan,Dan,"I for one am thankful for the Coronavirus.  
First  it is helping the environment more than anything else could ever do by restricting travel  consumption  production and waste.  
Second  it will hopefully be what will destroy any vestige of trump winning another [devastating] 4 years.  
And third  It’s putting our partisan polarized culture of hatred to the test and emphasizing community through empathy and humanity.",264,5,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 07:53:45,10,True,dan,0.0
10,Betsy S,Betsy,"The international economy is complicated: who knew? 
Yes  panic is part of the equation  but in the words of a famous saying  ""Just because you're paranoid  it doesn't mean they're not out to get you.""
There are dangers associated with stopping the spread of the corona virus. There are other dangers if nothing is done to stop that spread. 
People who trust Trump are foolish. What kind of person says  right out loud  that he doesn't want to let virus patients off a cruise ship because it will affect our ""numbers?"" What kind of person says that all the doctors are amazed at what he knows  when it's apparent he knows nothing? 
We knew what Trump was like going back to the primaries in 2007. He was elected by accident because people were foolish enough to think that he couldn't be elected. 
Let people who know what they're doing plan a response to the corona virus. If Trump appears  ignore him. That would be a sensible response. And wash your hands.",209,3,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,1.0,2020-03-09 07:59:53,11,True,betsy,1.0
11,Jordan,Jordan,"Everything is shutting down. The American President is incapable of leading and coordinating a coherent and comprehensive strategy. 

This is precisely the reason why Trump is unsuited for the job.",2076,45,True,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 08:02:58,12,True,jordan,1.0
12,Rob,Rob,For years the right has lectured us on how the free market is correct and government should just get out of the way. All regulation is socialism. But now that the market tells them their president is incompetent and instills no sense of security in a time of global crisis  conservatives tell us the market is irrational and the government should do something. Where is my violin?,2571,13,True,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 08:03:12,13,True,rob,0.0
13,MIMA,MIMA,"More reporting on the money problem with the health crisis.

How about more reporting on the effects of Donald Trump not knowing what to do  not caring what to do  and not doing?

You think the people planning their loved ones funerals and making visits to hospital ICU’s are looking at their stocks profiles?  

They are asking a big fat why!?

It’s Monday - how about an up to date report on what Dr. Deborah Birx is doing for this country?  We’re paying her to do something  to say something!  If she knows truth and direction - come forth.  But she does not  for some reason  speak words that would intensify Donald Trump’s stupidity and lack of care for this country and fellow man.  Are those her orders? 

I don’t want to see Jared Kushner in the news.  I don’t want to  see Mike Pence.  I want true news  as more of us healthcare workers want to see truth about steps taken to save lives - not pocketbooks.",511,3,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 08:14:35,14,True,mima,2.0
14,Socrates,Socrates,"“Cheer up  the worst is yet to come !”
- Mark Twain",759,3,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 08:16:33,15,True,socrates,0.0
15,Mark Lebow,Mark,Donald Trump:  RESIGN.  America simply can't wait until January 20  2021 for a president who knows how to do his job and who can actually govern.  Today is the day for you to go.,681,12,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 08:16:34,16,True,mark,0.0
16,Mike H,Mike,"The gains in the stock market in the past decade disproportionately benefitted the wealthy. Will the losses disproportionally impact them too?

The tens of millions who never recovered from the recession  who don’t have any retirement savings or stocks  and who haven’t been able to save up for a home — at least they’re more insulated from this. If you‘ve got nothing you’ve got nothing to lose.",44,2,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 08:19:25,17,True,mike,0.0
17,J c,J,"If you can work from home right now  you should work from home. I'm not saying this as an alarm  just as a reminder that showing up when you don't have to is not a sign of a hard worker  it's a sign that you aren't worried about how your actions affect others.

If you can remove yourself from the pool of vectors for this--DO IT.",22,1,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 08:27:00,18,True,j,2.0
18,Pigenfrafyn,Pigenfrafyn,So comforting to know that we have a stable genius in the White House to see us through this crisis.,35,0,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 08:29:40,19,True,pigenfrafyn,2.0
19,SridharC,SridharC,My vote in the next election goes to a candidate who promises universal healthcare and paid sick leave to everyone who has a job!,26,3,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 08:29:40,20,True,sridharc,2.0
20,It’s About Time,Its,"As a liberal I’ve usually felt that overall government ( us ) has been a force of good led by well meaning women and men.

With each passing day  I think the opposite. We are being led by some force of evil from the gross mismanagement at the border to the handling of the Coronavirus. This administration  every political appointee  has not shown themselves  to be well meaning on any count. Protecting the population has never been their primary goal. 

Change cannot happen fast enough. We are in real danger from this cabal of ignorant  incompetent ideologues.

It's time to be heard. You work for us.",167,5,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 08:29:40,21,True,its,2.0
21,Andrew,Andrew,If there’s one upside to this crisis  hopefully it puts the nail in the coffin of the Trump maladministration. It has highlighted their mendacity  lack of credibility  abysmal leadership and incompetence.,397,3,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,0.0,2020-03-09 08:29:40,22,True,andrew,0.0
22,Prometheus,Prometheus,"It will soon be time for socialist-style support for capitalism administered by the central banks.

Your health care is a lesser priority.",73,0,False,0,https://www.nytimes.com/2020/03/09/business/stock-market-today.html,1486,2.0,2020-03-09 08:31:20,23,True,prometheus,2.0
